opportunity_id,account_name,deal_value,stage,probability,expected_close_date,created_date,product_line,sales_rep,region,last_activity_date
OPP-2026-0001,Sterling Financial,94000,Qualification,25,2026-01-11,2025-11-02,Cloud Services,Marcus Johnson,South,2026-03-13
OPP-2026-0002,Flint Analytics,41000,Proposal,50,2026-04-08,2026-02-28,Cloud Services,Amanda Foster,East,2026-03-05
OPP-2026-0003,Silverline Consulting,29000,Negotiation,75,2025-10-12,2025-09-07,SaaS Platform,Kevin O'Brien,South,2026-03-08
OPP-2026-0004,Granite Logistics,23000,Qualification,25,2026-03-20,2026-02-12,Managed Services,Laura Patel,West,2026-03-16
OPP-2026-0005,Driftwood Digital,23000,Proposal,50,2025-12-23,2025-09-28,Enterprise Software,Stephanie Cruz,East,2026-03-20
OPP-2026-0006,Foundry Systems,46000,Closed Lost,0,2026-01-02,2025-11-29,Data Analytics,Marcus Johnson,East,2026-01-06
OPP-2026-0007,Foundry Systems,54000,Proposal,50,2026-05-16,2026-01-30,Data Analytics,Nathan Ellis,East,2026-03-31
OPP-2026-0008,Driftwood Digital,68000,Negotiation,75,2025-10-19,2025-08-15,Data Analytics,David Chen,East,2026-03-26
OPP-2026-0009,Falcon Industries,30000,Closed Lost,0,2025-10-07,2025-07-01,Cloud Services,Tyler Brooks,North,2025-09-21
OPP-2026-0010,Sapphire Consulting,139000,Closed Lost,0,2025-10-31,2025-07-23,Professional Services,Laura Patel,East,2025-10-16
OPP-2026-0011,Palladium Services,32000,Qualification,25,2026-06-10,2026-03-30,Data Analytics,Emily Rodriguez,South,2026-03-31
OPP-2026-0012,Cobalt Networks,38000,Negotiation,75,2026-04-02,2026-01-31,Professional Services,Diana Nguyen,South,2026-03-14
OPP-2026-0013,Cypress Data,74000,Prospecting,10,2026-05-10,2026-03-21,Cybersecurity,Sarah Mitchell,North,2026-03-28
OPP-2026-0014,Southfield Industries,53000,Closed Won,100,2025-12-28,2025-10-08,Professional Services,Kevin O'Brien,East,2025-12-22
OPP-2026-0015,Thornton & Associates,17000,Proposal,50,2026-04-29,2026-01-16,Data Analytics,Emily Rodriguez,North,2026-03-04
OPP-2026-0016,Westbrook Partners,42000,Qualification,25,2026-05-20,2026-03-12,Professional Services,Diana Nguyen,West,2026-03-20
OPP-2026-0017,Cobblestone Media,201000,Closed Lost,0,2025-10-23,2025-06-26,Cloud Services,Stephanie Cruz,West,2025-10-09
OPP-2026-0018,Luminary Group,15000,Negotiation,75,2026-04-19,2026-02-01,Professional Services,Stephanie Cruz,East,2026-03-22
OPP-2026-0019,Flint Analytics,30000,Closed Won,100,2025-11-03,2025-08-28,Hardware & Infrastructure,Laura Patel,East,2025-10-22
OPP-2026-0020,Foundry Systems,76000,Closed Won,100,2025-10-24,2025-07-13,Cloud Services,Diana Nguyen,West,2025-10-28
OPP-2026-0021,Westbrook Partners,109000,Negotiation,75,2026-03-28,2026-02-18,Hardware & Infrastructure,Nathan Ellis,East,2026-03-31
OPP-2026-0022,Topaz Solutions,80000,Closed Lost,0,2026-02-21,2025-10-28,SaaS Platform,Laura Patel,South,2026-02-01
OPP-2026-0023,Northgate Solutions,32000,Closed Won,100,2026-03-17,2025-12-16,Cloud Services,Sarah Mitchell,East,2026-03-10
OPP-2026-0024,Silverstone Media,21000,Negotiation,75,2025-12-15,2025-09-03,Data Analytics,Sarah Mitchell,South,2026-03-16
OPP-2026-0025,Harbor View Financial,9000,Proposal,50,2026-02-12,2025-11-03,SaaS Platform,Laura Patel,East,2026-03-09
OPP-2026-0026,Vertex Capital,52000,Qualification,25,2026-04-04,2026-03-04,Professional Services,Emily Rodriguez,East,2026-03-26
OPP-2026-0027,Highpoint Consulting,65000,Proposal,50,2025-10-11,2025-07-22,Data Analytics,Kevin O'Brien,East,2026-03-07
OPP-2026-0028,Summit Enterprises,76000,Negotiation,75,2026-03-13,2026-02-11,Data Analytics,Marcus Johnson,East,2026-03-25
OPP-2026-0029,Northstar Analytics,49000,Negotiation,75,2026-02-21,2025-10-31,Enterprise Software,Brandon Walsh,South,2026-03-13
OPP-2026-0030,Topaz Solutions,102000,Closed Won,100,2026-03-03,2025-11-26,Data Analytics,Laura Patel,West,2026-02-24
OPP-2026-0031,Diamond Networks,188000,Proposal,50,2025-10-05,2025-07-20,Managed Services,Sarah Mitchell,North,2026-03-25
OPP-2026-0032,Fieldstone Advisors,46000,Proposal,50,2026-01-23,2025-09-25,Cybersecurity,Stephanie Cruz,South,2026-03-26
OPP-2026-0033,Chalk Industries,32000,Prospecting,10,2026-05-16,2026-03-30,Professional Services,David Chen,South,2026-03-31
OPP-2026-0034,Cobblestone Media,6000,Negotiation,75,2025-11-14,2025-08-15,Data Analytics,Nathan Ellis,North,2026-03-18
OPP-2026-0035,Clearwater Health,61000,Closed Lost,0,2025-10-15,2025-06-21,Hardware & Infrastructure,James Thornton,South,2025-10-19
OPP-2026-0036,Westbrook Partners,30000,Prospecting,10,2026-06-24,2026-03-21,Data Analytics,Kevin O'Brien,East,2026-03-21
OPP-2026-0037,Cornerstone IT,25000,Prospecting,10,2026-06-09,2026-03-30,Cybersecurity,James Thornton,East,2026-03-31
OPP-2026-0038,Cascade Partners,65000,Qualification,25,2026-06-10,2026-02-13,Enterprise Software,Marcus Johnson,West,2026-03-27
OPP-2026-0039,Cornerstone IT,39000,Negotiation,75,2026-03-13,2025-12-31,Data Analytics,Rachel Kim,East,2026-03-28
OPP-2026-0040,Summit Enterprises,26000,Closed Won,100,2025-10-15,2025-07-11,Cybersecurity,Kevin O'Brien,South,2025-10-01
OPP-2026-0041,Topaz Solutions,83000,Negotiation,75,2026-04-30,2026-02-07,Enterprise Software,Marcus Johnson,North,2026-03-18
